annotation_id,source_id,line_number,tag,keyword,value
1,1,101,begin,@BEGIN,GRAVITATIONAL_WAVE_DETECTION
2,1,101,desc,@desc,Signal processing in gravitational wave detection.
3,1,102,in,@in,fn_d
4,1,102,as,@as,FN_Detector
5,1,102,desc,@desc,LIGO GW150914 data at sampling rate 4096 Hz
6,1,102,uri,@uri,file:{Detector}_LOSC_4_V1-1126259446-32.hdf5
7,1,103,in,@in,fn_sr
8,1,103,as,@as,FN_Sampling_rate
9,1,103,desc,@desc,LIGO GW150914 data from H1 detector with different sampling rate
10,1,103,uri,@uri,file:H-H1_LOSC_{DownSampling}_V1-1126259446-32.hdf5
11,1,107,param,@param,fs
12,1,107,desc,@desc,sampling rate
13,1,108,out,@out,shifted.wav
14,1,108,as,@as,shifted_wavefile
15,1,108,desc,@desc,shifted wavefile
16,1,108,uri,@uri,file:GW150914_{detector}_shifted.wav
17,1,109,out,@out,whitenbp.wav
18,1,109,as,@as,whitened_bandpass_wavefile
19,1,109,desc,@desc,whitened bandpass wavefile
20,1,109,uri,@uri,file:GW150914_{detector}_whitenbp.wav
21,1,112,out,@out,spectrogram_whitened.png
22,1,112,as,@as,spectrogram_whitened
23,1,112,desc,@desc,whitened spectrogram
24,1,112,uri,@uri,file:GW150914_{detector}_spectrogram_whitened.png
25,1,113,out,@out,spectrogram.png
26,1,113,as,@as,spectrogram
27,1,113,desc,@desc,spectrogram
28,1,113,uri,@uri,file:GW150914_{detector}_spectrogram.png
29,1,115,out,@out,GW150914_filter.png
30,1,115,as,@as,filtered_white_noise_data
31,1,115,desc,@desc,filtered white noise data
32,1,115,uri,@uri,file:GW150914_filter.png
33,1,116,out,@out,GW150914_strain_whitened.png
34,1,116,as,@as,WHITENED_strain_data
35,1,116,desc,@desc,WHITENED strain data
36,1,116,uri,@uri,file:GW150914_strain_whitened.png
37,1,117,out,@out,GW150914_H1_strain_filtered.png
38,1,117,as,@as,H1_strain_filtered
39,1,117,desc,@desc,FILTERED strain data
40,1,117,uri,@uri,file:GW150914_H1_strain_filtered.png
41,1,118,out,@out,GW150914_H1_strain_unfiltered.png
42,1,118,as,@as,H1_strain_unfiltered
43,1,118,desc,@desc,UNFILTERED strain data
44,1,118,uri,@uri,file:GW150914_H1_strain_unfiltered.png
45,1,121,out,@out,GW150914_ASDs.png
46,1,121,as,@as,ASDs
47,1,121,desc,@desc,strain data near GW150914
48,1,121,uri,@uri,file:GW150914_ASDs.png
49,1,122,out,@out,GW150914_H1_ASD_SamplingRate.png
50,1,122,as,@as,H1_ASD_SamplingRate
51,1,122,uri,@uri,file:GW150914_H1_ASD_{SamplingRate}.png
52,1,126,begin,@BEGIN,LOAD_DATA
53,1,126,desc,@desc,Load hdf5 data.
54,1,127,in,@in,fn_d
55,1,127,as,@as,FN_Detector
56,1,127,uri,@uri,file:{Detector}_LOSC_4_V1-1126259446-32.hdf5
57,1,128,in,@in,fn_sr
58,1,128,as,@as,FN_Sampling_rate
59,1,128,uri,@uri,file:H-H1_LOSC_{downsampling}_V1-1126259446-32.hdf5
60,1,129,out,@out,strain_H1
61,1,129,as,@as,strain_H1
62,1,130,out,@out,strain_L1
63,1,130,as,@as,strain_L1
64,1,131,out,@out,strain_16
65,1,131,as,@as,strain_16
66,1,132,out,@out,strain_4
67,1,132,as,@as,strain_4
68,1,152,end,@END,LOAD_DATA
69,1,251,begin,@BEGIN,AMPLITUDE_SPECTRAL_DENSITY
70,1,251,desc,@desc,Amplitude spectral density.
71,1,252,in,@in,strain_H1
72,1,252,as,@as,strain_H1
73,1,253,in,@in,strain_L1
74,1,253,as,@as,strain_L1
75,1,254,param,@param,fs
76,1,255,out,@out,psd_H1
77,1,255,as,@as,PSD_H1
78,1,256,out,@out,psd_L1
79,1,256,as,@as,PSD_L1
80,1,257,out,@out,GW150914_ASDs.png
81,1,257,as,@as,ASDs
82,1,257,desc,@desc,strain data near GW150914
83,1,257,uri,@uri,file:GW150914_ASDs.png
84,1,308,end,@END,AMPLITUDE_SPECTRAL_DENSITY
85,1,312,begin,@BEGIN,WHITENING
86,1,312,desc,@desc,suppress low frequencies noise.
87,1,313,in,@in,psd_H1
88,1,313,as,@as,PSD_H1
89,1,314,in,@in,psd_L1
90,1,314,as,@as,PSD_L1
91,1,315,out,@out,strain_H1_whiten
92,1,315,as,@as,strain_H1_whiten
93,1,316,out,@out,strain_L1_whiten
94,1,316,as,@as,strain_L1_whiten
95,1,344,end,@END,WHITENING
96,1,348,begin,@BEGIN,BANDPASSING
97,1,348,desc,@desc,remove high frequency noise.
98,1,349,in,@in,strain_H1_whiten
99,1,349,as,@as,strain_H1_whiten
100,1,350,in,@in,strain_L1_whiten
101,1,350,as,@as,strain_L1_whiten
102,1,351,out,@out,strain_H1_whitenbp
103,1,351,as,@as,strain_H1_whitenbp
104,1,352,out,@out,strain_L1_whitenbp
105,1,352,as,@as,strain_L1_whitenbp
106,1,361,end,@END,BANDPASSING
107,1,366,begin,@BEGIN,STRAIN_WAVEFORM_FOR_WHITENED_DATA
108,1,366,desc,@desc,plot whitened data.
109,1,367,in,@in,strain_H1_whitenbp
110,1,367,as,@as,strain_H1_whitenbp
111,1,368,in,@in,strain_L1_whitenbp
112,1,368,as,@as,strain_L1_whitenbp
113,1,369,out,@out,GW150914_strain_whitened.png
114,1,369,as,@as,WHITENED_strain_data
115,1,369,desc,@desc,WHITENED strain data
116,1,369,uri,@uri,file:GW150914_strain_whitened.png
117,1,388,end,@END,STRAIN_WAVEFORM_FOR_WHITENED_DATA
118,1,404,begin,@BEGIN,SPECTROGRAMS_FOR_STRAIN_DATA
119,1,404,desc,@desc,plot spectrogram for strain data.
120,1,405,in,@in,strain_H1
121,1,405,as,@as,strain_H1
122,1,406,in,@in,strain_L1
123,1,406,as,@as,strain_L1
124,1,407,param,@param,fs
125,1,408,out,@out,spectrogram.png
126,1,408,as,@as,spectrogram
127,1,408,desc,@desc,spectrogram
128,1,408,uri,@uri,file:GW150914_{detector}_spectrogram.png
129,1,458,end,@END,SPECTROGRAMS_FOR_STRAIN_DATA
130,1,471,begin,@BEGIN,SPECTROGRAMS_FOR_WHITEND_DATA
131,1,471,desc,@desc,plot spectrogram for whitened data.
132,1,472,in,@in,strain_H1_whiten
133,1,472,as,@as,strain_H1_whiten
134,1,473,in,@in,strain_L1_whiten
135,1,473,as,@as,strain_L1_whiten
136,1,474,param,@param,fs
137,1,475,out,@out,spectrogram_whitened.png
138,1,475,as,@as,spectrogram_whitened
139,1,475,desc,@desc,whitened spectrogram
140,1,475,uri,@uri,file:GW150914_{detector}_spectrogram_whitened.png
141,1,515,end,@END,SPECTROGRAMS_FOR_WHITEND_DATA
142,1,524,begin,@BEGIN,FILTER_COEFS
143,1,524,desc,@desc,Filter signal in time domain (bandpassing).
144,1,525,param,@param,fs
145,1,526,out,@out,coefs
146,1,526,as,@as,COEFFICIENTS
147,1,614,end,@END,FILTER_COEFS
148,1,620,begin,@BEGIN,FILTER_DATA
149,1,620,desc,@desc,filter data.
150,1,621,in,@in,strain_H1
151,1,621,as,@as,strain_H1
152,1,622,in,@in,strain_L1
153,1,622,as,@as,strain_L1
154,1,623,in,@in,coefs
155,1,623,as,@as,COEFFICIENTS
156,1,624,out,@out,strain_H1_filt
157,1,624,as,@as,strain_H1_filt
158,1,625,out,@out,strain_L1_filt
159,1,625,as,@as,strain_L1_filt
160,1,626,out,@out,GW150914_filter.png
161,1,626,as,@as,filtered_white_noise_data
162,1,626,desc,@desc,filter white noise data
163,1,626,uri,@uri,file:GW150914_filter.png
164,1,700,end,@END,FILTER_DATA
165,1,705,begin,@BEGIN,STRAIN_WAVEFORM_FOR_FILTERED_DATA
166,1,705,desc,@desc,plot the filtered data.
167,1,706,in,@in,strain_H1_filt
168,1,706,as,@as,strain_H1_filt
169,1,707,in,@in,strain_L1_filt
170,1,707,as,@as,strain_L1_filt
171,1,708,out,@out,GW150914_H1_strain_filtered.png
172,1,708,as,@as,H1_strain_filtered
173,1,708,desc,@desc,FILTERED strain data
174,1,708,uri,@uri,file:GW150914_H1_strain_filtered.png
175,1,709,out,@out,GW150914_H1_strain_unfiltered.png
176,1,709,as,@as,H1_strain_unfiltered
177,1,709,desc,@desc,UNFILTERED strain data
178,1,709,uri,@uri,file:GW150914_H1_strain_unfiltered.png
179,1,742,end,@END,STRAIN_WAVEFORM_FOR_FILTERED_DATA
180,1,754,begin,@BEGIN,WAVE_FILE_GENERATOR_FOR_WHITENED_DATA
181,1,754,desc,@desc,Make sound files for whitened data.
182,1,755,in,@in,strain_H1_whitenbp
183,1,755,as,@as,strain_H1_whitenbp
184,1,756,in,@in,strain_L1_whitenbp
185,1,756,as,@as,strain_L1_whitenbp
186,1,757,out,@out,whitenbp.wav
187,1,757,as,@as,whitened_bandpass_wavefile
188,1,757,desc,@desc,whitened bandpass wavefile
189,1,757,uri,@uri,file:GW150914_{detector}_whitenbp.wav
190,1,788,end,@END,WAVE_FILE_GENERATOR_FOR_WHITENED_DATA
191,1,805,begin,@BEGIN,SHIFT_FREQUENCY_BANDPASSED
192,1,805,desc,@desc,shift frequency of bandpassed signal.
193,1,806,in,@in,strain_H1_whitenbp
194,1,806,as,@as,strain_H1_whitenbp
195,1,807,in,@in,strain_L1_whitenbp
196,1,807,as,@as,strain_L1_whitenbp
197,1,808,out,@out,strain_H1_shifted
198,1,808,as,@as,strain_H1_shifted
199,1,809,out,@out,strain_L1_shifted
200,1,809,as,@as,strain_L1_shifted
201,1,836,end,@END,SHIFT_FREQUENCY_BANDPASSED
202,1,842,begin,@BEGIN,WAVE_FILE_GENERATOR_FOR_SHIFTED_DATA
203,1,842,desc,@desc,Make sound files for shifted data.
204,1,843,in,@in,strain_H1_shifted
205,1,843,as,@as,strain_H1_shifted
206,1,844,in,@in,strain_L1_shifted
207,1,844,as,@as,strain_L1_shifted
208,1,845,out,@out,shifted.wav
209,1,845,as,@as,shifted_wavefile
210,1,845,desc,@desc,shifted wavefile
211,1,845,uri,@uri,file:GW150914_{detector}_shifted.wav
212,1,855,end,@END,WAVE_FILE_GENERATOR_FOR_SHIFTED_DATA
213,1,859,begin,@BEGIN,DOWNSAMPLING
214,1,859,desc,@desc,Downsampling from 16384 Hz to 4096 Hz.
215,1,860,in,@in,strain_16
216,1,860,as,@as,strain_16
217,1,861,in,@in,strain_4
218,1,861,as,@as,strain_4
219,1,862,out,@out,GW150914_H1_ASD_SamplingRate.png
220,1,862,as,@as,H1_ASD_SamplingRate
221,1,862,uri,@uri,file:GW150914_H1_ASD_{SamplingRate}.png
222,1,962,end,@END,DOWNSAMPLING
223,1,1037,end,@END,GRAVITATIONAL_WAVE_DETECTION
