data_id,data_name,qualified_data_name
1,FN_Detector,[FN_Detector]
2,FN_Sampling_rate,[FN_Sampling_rate]
3,fs,[fs]
4,shifted_wavefile,[shifted_wavefile]
5,whitened_bandpass_wavefile,[whitened_bandpass_wavefile]
6,spectrogram_whitened,[spectrogram_whitened]
7,spectrogram,[spectrogram]
8,filtered_white_noise_data,[filtered_white_noise_data]
9,WHITENED_strain_data,[WHITENED_strain_data]
10,H1_strain_filtered,[H1_strain_filtered]
11,H1_strain_unfiltered,[H1_strain_unfiltered]
12,ASDs,[ASDs]
13,H1_ASD_SamplingRate,[H1_ASD_SamplingRate]
14,FN_Detector,GRAVITATIONAL_WAVE_DETECTION[FN_Detector]
15,FN_Sampling_rate,GRAVITATIONAL_WAVE_DETECTION[FN_Sampling_rate]
16,strain_H1,GRAVITATIONAL_WAVE_DETECTION[strain_H1]
17,strain_L1,GRAVITATIONAL_WAVE_DETECTION[strain_L1]
18,strain_16,GRAVITATIONAL_WAVE_DETECTION[strain_16]
19,strain_4,GRAVITATIONAL_WAVE_DETECTION[strain_4]
20,fs,GRAVITATIONAL_WAVE_DETECTION[fs]
21,PSD_H1,GRAVITATIONAL_WAVE_DETECTION[PSD_H1]
22,PSD_L1,GRAVITATIONAL_WAVE_DETECTION[PSD_L1]
23,ASDs,GRAVITATIONAL_WAVE_DETECTION[ASDs]
24,strain_H1_whiten,GRAVITATIONAL_WAVE_DETECTION[strain_H1_whiten]
25,strain_L1_whiten,GRAVITATIONAL_WAVE_DETECTION[strain_L1_whiten]
26,strain_H1_whitenbp,GRAVITATIONAL_WAVE_DETECTION[strain_H1_whitenbp]
27,strain_L1_whitenbp,GRAVITATIONAL_WAVE_DETECTION[strain_L1_whitenbp]
28,WHITENED_strain_data,GRAVITATIONAL_WAVE_DETECTION[WHITENED_strain_data]
29,spectrogram,GRAVITATIONAL_WAVE_DETECTION[spectrogram]
30,spectrogram_whitened,GRAVITATIONAL_WAVE_DETECTION[spectrogram_whitened]
31,COEFFICIENTS,GRAVITATIONAL_WAVE_DETECTION[COEFFICIENTS]
32,strain_H1_filt,GRAVITATIONAL_WAVE_DETECTION[strain_H1_filt]
33,strain_L1_filt,GRAVITATIONAL_WAVE_DETECTION[strain_L1_filt]
34,filtered_white_noise_data,GRAVITATIONAL_WAVE_DETECTION[filtered_white_noise_data]
35,H1_strain_filtered,GRAVITATIONAL_WAVE_DETECTION[H1_strain_filtered]
36,H1_strain_unfiltered,GRAVITATIONAL_WAVE_DETECTION[H1_strain_unfiltered]
37,whitened_bandpass_wavefile,GRAVITATIONAL_WAVE_DETECTION[whitened_bandpass_wavefile]
38,strain_H1_shifted,GRAVITATIONAL_WAVE_DETECTION[strain_H1_shifted]
39,strain_L1_shifted,GRAVITATIONAL_WAVE_DETECTION[strain_L1_shifted]
40,shifted_wavefile,GRAVITATIONAL_WAVE_DETECTION[shifted_wavefile]
41,H1_ASD_SamplingRate,GRAVITATIONAL_WAVE_DETECTION[H1_ASD_SamplingRate]
