port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,fn_H1,GRAVITATIONAL_WAVE_DETECTION<-fn_H1,3,1
2,in,fn_L1,GRAVITATIONAL_WAVE_DETECTION<-fn_L1,5,2
3,in,fn_16,GRAVITATIONAL_WAVE_DETECTION<-fn_16,7,3
4,in,fn_4,GRAVITATIONAL_WAVE_DETECTION<-fn_4,9,4
5,PARAM,fs,GRAVITATIONAL_WAVE_DETECTION<-fs,11,5
6,out,GW150914_H1_shifted.wav,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_shifted.wav,12,6
7,out,GW150914_L1_shifted.wav,GRAVITATIONAL_WAVE_DETECTION->GW150914_L1_shifted.wav,15,7
8,out,GW150914_H1_whitenbp.wav,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_whitenbp.wav,18,8
9,out,GW150914_L1_whitenbp.wav,GRAVITATIONAL_WAVE_DETECTION->GW150914_L1_whitenbp.wav,21,9
10,out,GW150914_H1_spectrogram_whitened.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_spectrogram_whitened.png,24,10
11,out,GW150914_L1_spectrogram_whitened.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_L1_spectrogram_whitened.png,27,11
12,out,GW150914_H1_spectrogram.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_spectrogram.png,30,12
13,out,GW150914_L1_spectrogram.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_L1_spectrogram.png,33,13
14,out,GW150914_filter.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_filter.png,36,14
15,out,GW150914_strain_whitened.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_strain_whitened.png,39,15
16,out,GW150914_H1_strain_filtered.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_strain_filtered.png,42,16
17,out,GW150914_H1_strain_unfiltered.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_strain_unfiltered.png,45,17
18,out,GW150914_ASDs.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_ASDs.png,48,18
19,out,GW150914_H1_ASD_16384.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_ASD_16384.png,51,19
20,out,GW150914_H1_ASD_16384_zoom.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_ASD_16384_zoom.png,53,20
21,out,GW150914_H1_ASD_4096_zoom.png,GRAVITATIONAL_WAVE_DETECTION->GW150914_H1_ASD_4096_zoom.png,55,21
22,in,fn_H1,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA<-fn_H1,59,22
23,in,fn_L1,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA<-fn_L1,61,23
24,in,fn_16,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA<-fn_16,63,24
25,in,fn_4,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA<-fn_4,65,25
26,out,strain_H1,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA->strain_H1,67,26
27,out,strain_L1,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA->strain_L1,69,27
28,out,strain_16,GRAVITATIONAL_WAVE_DETECTION.LOAD_DATA->strain_16,71,28
