port_id,alias
1,FN_Detector
2,FN_Sampling_rate
4,shifted_wavefile
5,whitened_bandpass_wavefile
6,spectrogram_whitened
7,spectrogram
8,filtered_white_noise_data
9,WHITENED_strain_data
10,H1_strain_filtered
11,H1_strain_unfiltered
12,ASDs
13,H1_ASD_SamplingRate
14,FN_Detector
15,FN_Sampling_rate
16,strain_H1
17,strain_L1
18,strain_16
19,strain_4
20,strain_H1
21,strain_L1
23,PSD_H1
24,PSD_L1
25,ASDs
26,PSD_H1
27,PSD_L1
28,strain_H1_whiten
29,strain_L1_whiten
30,strain_H1_whiten
31,strain_L1_whiten
32,strain_H1_whitenbp
33,strain_L1_whitenbp
34,strain_H1_whitenbp
35,strain_L1_whitenbp
36,WHITENED_strain_data
37,strain_H1
38,strain_L1
40,spectrogram
41,strain_H1_whiten
42,strain_L1_whiten
44,spectrogram_whitened
46,COEFFICIENTS
47,strain_H1
48,strain_L1
49,COEFFICIENTS
50,strain_H1_filt
51,strain_L1_filt
52,filtered_white_noise_data
53,strain_H1_filt
54,strain_L1_filt
55,H1_strain_filtered
56,H1_strain_unfiltered
57,strain_H1_whitenbp
58,strain_L1_whitenbp
59,whitened_bandpass_wavefile
60,strain_H1_whitenbp
61,strain_L1_whitenbp
62,strain_H1_shifted
63,strain_L1_shifted
64,strain_H1_shifted
65,strain_L1_shifted
66,shifted_wavefile
67,strain_16
68,strain_4
69,H1_ASD_SamplingRate
